stop_id,stop_name,stop_lat,stop_lon,X,Y
704,via mac mahon v.le m.te ceneri,45.493739295847895,9.156776346252714,512249.7914675082,5037812.9113506675
705,c.so sempione via e. filiberto,45.48668325823355,9.15925868558336,512445.30404385657,5037029.388980415
706,c.so sempione via e. filiberto,45.48640915156314,9.159200164723783,512440.7912561388,5036998.927537537
707,p.za caneva,45.48680858329679,9.159997868136903,512503.0398950264,5037043.426955831
708,p.za caneva,45.48824131382314,9.162078196718028,512665.28616590326,5037202.924616941
709,via mac mahon via p. eugenio,45.48874854307793,9.16301222364214,512738.15955411363,5037259.423852671
710,via govone,45.492960835866384,9.162457929514511,512693.89943827095,5037727.308821713
711,via mac mahon via p. eugenio,45.48967011437589,9.164198482536865,512830.64737975877,5037361.996299107
712,via govone,45.49237677388063,9.163707104578084,512791.6378624573,5037662.6194524905
713,bovisa (politecnico),45.50276123606052,9.15969411329511,512475.780017152,5038815.671334484
714,bovisa (politecnico),45.50311671224237,9.161163974128897,512590.53068462096,5038855.393062169
715,via bovisasca via morghen,45.50465712827566,9.160272323994828,512520.53129311715,5039026.3895372385
716,via bovisasca via morghen,45.50529638859194,9.160134926980694,512509.656202302,5039097.388149551
717,via vare',45.50177876444582,9.162088155073777,512663.02993505244,5038706.896172149
718,bovisa (politecnico),45.503194401601526,9.161271153704805,512598.8864907656,5038864.040933527
719,via broglio via vare',45.50250696324667,9.162707841886714,512711.27868609875,5038787.8948420165
720,bausan,45.50191045126184,9.164421313379858,512845.27643111657,5038721.896648764
721,via bovisasca via gabbro,45.51519660827644,9.156751136364813,512243.1696481683,5040196.754253159
722,via gabbro via bovisasca,45.51457984798677,9.157627851313968,512311.78063791565,5040128.36783229
723,via cosenz via grazzini,45.50661039318032,9.160231451807828,512516.9054563934,5039243.385419522
724,via bovisasca via cosenz,45.50748890371445,9.159574679258236,512465.4060221331,5039340.883361373
725,via nicolodi via tukory,45.51220691470053,9.1617035524695,512630.65071396745,5039865.374134642
726,q.re bovisasca,45.51512286522341,9.160536439928295,512538.840096951,5040189.145630462
727,via durando via cosenz,45.50622357863132,9.163256163372148,512753.27617033146,5039200.887209027
728,via cosenz via durando,45.50717305732692,9.163341751020203,512759.74760806165,5039306.385241456
729,via cerkovo (q.re bovisasca),45.5162383470952,9.152589633149589,511917.91230958636,5040311.862720005
730,via l. modignani via bovisasca,45.5214806301235,9.15314700889167,511960.33507847256,5040894.349884692
731,via cerkovo (q.re bovisasca),45.51640868488422,9.153099019050137,511957.66147976357,5040330.862526631
732,via bovisasca via maffi,45.5181450421096,9.1539617235976,512024.6724091349,5040523.8961567525
733,via l. modignani via bovisasca,45.52153589956173,9.152834399550605,511935.9095142535,5040900.44366758
734,via bovisasca via el alamein,45.5169006382336,9.155398541637254,512137.15786100714,5040385.8622356625
735,via bovisasca via maffi,45.518732172315566,9.154410158028629,512059.570477778,5040589.192067882
736,via bovisasca via el alamein,45.517174709273405,9.156217531345172,512201.06452676014,5040416.434924272
737,via gabbro via assietta,45.51711027891849,9.16003072660074,512498.90093034966,5040409.863291018
738,via l. modignani via salemi,45.5226190485668,9.159165867411188,512430.13967616746,5041021.739436313
739,via l. modignani via salemi,45.52290662709974,9.160211984820153,512511.77300080867,5041053.851169784
740,via l. modignani via sacro cuore,45.5232469161232,9.162624848460544,512700.1292849918,5041092.03523367
741,via l. modignani via sacro cuore,45.52333991454388,9.16252286987691,512692.14439272793,5041102.351005339
742,via esculapio,45.52476129275799,9.162353957620022,512678.63398919604,5041260.235964114
743,via l. modignani via comasina,45.52366155500899,9.16419962602868,512823.01677143533,5041138.350870704
744,via spadini,45.52765646640987,9.15888403931407,512407.02277813887,5041581.34076046
745,"via teano, 21",45.52849154914841,9.160320648950728,512519.0202754687,5041674.339469547
746,q.re comasina,45.52539381358661,9.16132988301026,512598.52020941186,5041330.346304449
747,"via comasina, 121",45.5339160941226,9.161155008373315,512582.96355344757,5042277.124340705
748,via feraboli via gratosoglio,45.41637624684393,9.168825531756491,513209.30918490235,5029220.077834634
749,via feraboli via gratosoglio,45.41642009711621,9.169606874402003,513270.4330095757,5029225.077994966
750,"via baroni, 47",45.40859613547978,9.170952433001473,513377.5596097818,5028356.094875238
751,"via baroni, 47",45.40885279478202,9.17086694839272,513370.8096184367,5028384.594308126
752,"via baroni, 13/a",45.41152895421407,9.171982023046096,513457.4317418302,5028682.089043306
753,"via baroni, 13/a",45.411353352647495,9.171921440614492,513452.73291196994,5028662.570392832
754,via gratosoglio via baroni,45.414145426074846,9.170879681828913,513370.5571713665,5028972.58318744
755,"via baroni, 36",45.41251414308468,9.172269355395338,513479.68086500716,5028791.587065336
756,"via baroni, 36",45.41302336595158,9.171829997359763,513445.1812810319,5028848.085853011
757,via baroni via saponaro,45.40468133575568,9.170493421028526,513342.56208465295,5027921.102955678
758,via baroni via saponaro,45.40455032951864,9.170822058443576,513368.3116587518,5027906.603337263
759,"via baroni, 59",45.40634751550169,9.16983874372082,513290.93728834373,5028106.099241828
